Origin,Destination,Carrier,WeatherCondition,DistanceKM,ExpectedDeliveryDays,Holiday,CustomsClearanceTime,HandlingTimeWarehouse,Delay
Delhi,Ahmedabad,FedEx,Rainy,894,8,0,0.5107852480292434,1.9536824681098364,0
Bengaluru,Ahmedabad,FedEx,Storm,1582,6,0,1.6862735950553713,0.8045162460419043,1
Delhi,Lucknow,FedEx,Storm,834,8,1,0.9498877818897637,1.1537110953300862,1
Chennai,Lucknow,BlueDart,Fog,1663,4,1,2.7016895422817337,0.7735993394467499,1
Delhi,Lucknow,DTDC,Fog,1371,8,1,1.7401793122992126,0.18322715499573466,1
Delhi,Jaipur,BlueDart,Storm,1381,9,1,3.392782117032893,0.7190681804624887,1
Kolkata,Hyderabad,BlueDart,Rainy,1601,3,0,1.7698262565455811,0.5311277631966798,1
Delhi,Jaipur,FedEx,Fog,902,3,1,2.5108748366074223,0.693496618625878,1
Bengaluru,Lucknow,DTDC,Fog,1691,5,1,2.452235163117419,0.3655297188576886,1
Mumbai,Lucknow,BlueDart,Fog,64,8,1,2.394007826753706,1.4398142193900367,1
Mumbai,Ahmedabad,DTDC,Rainy,1035,6,0,0.5779492426687123,1.369965627401896,0
Delhi,Ahmedabad,DTDC,Fog,1152,2,1,2.2945704560019498,1.1518008612501922,1
Delhi,Jaipur,FedEx,Cloudy,1225,2,0,0.9081294203044463,0.8762044230768087,0
Chennai,Lucknow,UPS,Sunny,506,8,0,1.1285668436725886,0.6578281397566988,0
Chennai,Ahmedabad,BlueDart,Rainy,1034,8,1,1.5410766427522327,1.646638730865466,1
Bengaluru,Hyderabad,BlueDart,Cloudy,94,2,0,2.583785856968286,0.977566737477636,0
Bengaluru,Pune,UPS,Rainy,1879,3,0,1.6723157093943013,0.8239403295833166,1
Bengaluru,Hyderabad,Delhivery,Storm,1279,6,0,0.4892447337431333,0.3242112140289791,1
Mumbai,Lucknow,Delhivery,Fog,1015,7,0,3.398282045247489,1.5796267175350098,1
Mumbai,Hyderabad,FedEx,Storm,926,7,0,0.5180901751065476,1.814944553433299,1
Delhi,Jaipur,FedEx,Cloudy,1457,4,1,0.7833501836994645,1.7275671397755135,1
Chennai,Pune,FedEx,Rainy,1452,7,0,2.2701191743180624,1.2097861409341977,1
Delhi,Ahmedabad,FedEx,Sunny,1527,5,1,1.8301697035069124,0.726736303432292,1
Delhi,Ahmedabad,BlueDart,Storm,251,3,1,0.7629567961717241,1.8577282249159146,1
Kolkata,Jaipur,DTDC,Cloudy,1244,6,0,3.3632454036967694,1.0163765301915104,1
Delhi,Jaipur,FedEx,Sunny,211,4,0,1.819333081369919,1.8818702644524674,1
Delhi,Jaipur,DTDC,Rainy,1624,4,1,1.9182189281560746,0.9339317745795886,1
Mumbai,Hyderabad,BlueDart,Cloudy,1661,2,1,0.6628219936954156,1.152668672724194,1
Mumbai,Pune,FedEx,Storm,281,4,0,2.5990822271467127,1.5604302346435484,1
Bengaluru,Hyderabad,BlueDart,Storm,1836,9,0,0.32346143538139327,1.1542196918438183,1
Chennai,Hyderabad,Delhivery,Fog,947,8,1,3.3445680037301586,0.6527438924662253,1
Mumbai,Ahmedabad,DTDC,Fog,549,9,1,0.7432057980206599,0.18533017684542508,1
Mumbai,Jaipur,UPS,Fog,345,9,0,3.139615219899132,1.7975486154259401,1
Bengaluru,Pune,DTDC,Rainy,666,2,1,2.383482168453612,0.809949684860049,1
Kolkata,Pune,FedEx,Storm,790,4,0,0.9952028975187597,0.33324007158182345,1
Kolkata,Pune,UPS,Fog,348,7,0,2.1779632120187835,1.7616678775911825,1
Delhi,Pune,Delhivery,Cloudy,1996,8,0,1.8524459144677294,0.3734052548473765,1
Kolkata,Lucknow,BlueDart,Sunny,497,4,0,2.4362736229224295,0.33148175879420916,0
Mumbai,Jaipur,UPS,Storm,1544,6,0,2.853610936401467,1.4592735462700233,1
Delhi,Pune,FedEx,Fog,305,5,0,3.2609564183214754,0.8553985682673871,1
Kolkata,Hyderabad,BlueDart,Rainy,1041,7,0,1.1452725487107815,1.8571360156928516,1
Kolkata,Jaipur,BlueDart,Rainy,1132,3,1,0.5494614323774858,0.36664523442143404,0
Bengaluru,Jaipur,BlueDart,Fog,373,6,0,2.8543910215228037,0.9880250429550538,1
Kolkata,Ahmedabad,FedEx,Fog,84,7,0,2.93711442911303,1.6139524678178072,1
Chennai,Hyderabad,Delhivery,Rainy,1542,6,1,2.1902536192177946,0.8838859816199925,1
Kolkata,Pune,Delhivery,Fog,880,2,1,3.062719084782672,0.9624040759449695,1
Chennai,Hyderabad,Delhivery,Cloudy,1989,7,1,0.5474176635186123,0.2264618282148385,1
Kolkata,Jaipur,DTDC,Cloudy,335,3,1,1.2241044239494456,0.37335667264517103,0
Kolkata,Lucknow,DTDC,Sunny,353,4,1,0.5811172100956714,0.14018123103923608,0
Delhi,Ahmedabad,BlueDart,Sunny,390,8,0,2.150774593166205,1.3933576009190622,1
Kolkata,Hyderabad,UPS,Cloudy,1969,6,1,3.00873436851328,0.1826026178243047,1
Kolkata,Jaipur,BlueDart,Fog,511,3,0,2.0850677507511497,0.8908986088360653,1
Mumbai,Pune,BlueDart,Cloudy,1855,6,1,2.950413227502247,0.1987275462836981,1
Delhi,Jaipur,UPS,Storm,243,8,1,3.1787553749611366,1.961184293114526,1
Mumbai,Lucknow,DTDC,Storm,1274,7,1,0.6440222877633853,1.1185292683005108,1
Bengaluru,Hyderabad,DTDC,Fog,1722,8,0,1.4707953371311664,1.3151702153505092,1
Mumbai,Hyderabad,BlueDart,Sunny,895,5,0,0.9674808037452831,0.7982724392187431,0
Chennai,Jaipur,Delhivery,Storm,688,5,0,2.46295304000462,0.664065301685442,1
Bengaluru,Lucknow,FedEx,Fog,1715,5,1,1.9669348064390102,1.7122649286698868,1
Mumbai,Jaipur,FedEx,Cloudy,1618,6,1,2.2886281765831487,0.6474956669466773,1
Delhi,Ahmedabad,BlueDart,Cloudy,1215,7,1,0.6359393630950949,1.2673215070296477,1
Kolkata,Ahmedabad,BlueDart,Storm,1465,6,0,3.288601414912066,0.36107506707182413,1
Kolkata,Lucknow,BlueDart,Fog,843,6,0,2.8238789686441836,1.8974514193529275,1
Bengaluru,Pune,Delhivery,Storm,1200,2,0,2.2333468100796003,0.4254534777762987,1
Delhi,Jaipur,BlueDart,Rainy,978,5,1,2.72094718702174,1.6185649613729267,1
Chennai,Jaipur,DTDC,Cloudy,1219,3,1,0.5951208420537053,0.3224967752102099,0
Bengaluru,Pune,DTDC,Storm,1471,5,1,2.415063663918356,0.7339117408236525,1
Bengaluru,Ahmedabad,UPS,Fog,1536,7,0,1.4018336586477782,0.6974359623880995,1
Mumbai,Pune,UPS,Sunny,218,9,1,1.4649554151654522,1.486402846487018,0
Chennai,Pune,DTDC,Fog,1875,4,1,1.781919561610983,0.8150829996135698,1
Bengaluru,Lucknow,BlueDart,Storm,1700,9,0,3.0067611413295827,1.3104403795832944,1
Delhi,Pune,BlueDart,Rainy,1197,2,1,0.24059886343238937,0.9632041274993184,0
Bengaluru,Lucknow,DTDC,Cloudy,1938,5,0,1.1963603917602221,1.845039601479553,1
Chennai,Ahmedabad,FedEx,Rainy,265,5,1,3.101360080215559,0.639426031941674,1
Bengaluru,Lucknow,BlueDart,Sunny,1348,9,0,2.34541255134403,0.27183738126985224,1
Bengaluru,Ahmedabad,UPS,Fog,106,3,0,0.6719721880498954,1.5758590873152152,1
Kolkata,Pune,BlueDart,Fog,613,7,1,0.21791845262471154,0.19815004232735794,1
Delhi,Lucknow,FedEx,Fog,1612,9,0,3.0030491816461407,0.20874068629119474,1
Bengaluru,Lucknow,UPS,Fog,284,8,1,2.965334721562764,0.17628746913942622,1
Bengaluru,Jaipur,Delhivery,Sunny,293,7,1,2.659120823485187,1.2970225046951576,1
Delhi,Lucknow,DTDC,Sunny,1635,7,0,1.0935038793487408,1.4488189248344774,1
Delhi,Jaipur,UPS,Storm,1242,6,0,2.2338196007608584,0.18046604800231747,1
Mumbai,Lucknow,DTDC,Storm,852,3,0,0.8056596553050526,1.9620516411529658,1
Delhi,Jaipur,DTDC,Rainy,1578,4,1,2.0889633948635034,0.37574748386359447,1
Mumbai,Lucknow,DTDC,Cloudy,865,6,1,2.3424694123095193,1.887129378421485,1
Bengaluru,Pune,BlueDart,Rainy,1041,7,0,1.7647568072926396,0.32651329977571475,0
Kolkata,Pune,UPS,Cloudy,232,4,1,2.216258905220873,1.3057953230946997,1
Chennai,Lucknow,DTDC,Sunny,847,8,0,2.141410619749727,0.702377731502752,1
